Nº,Autor,Título,Editorial,ISBN
1306," Lacan,Jacques",Escritos 1 (segunda parte)," Argentina . Ed. Siglo Veintiuno, 2014 ; 495 p. ; 22 cm.",ISBN : 978-987-629-418-8
1307," Plante, Isabel",Raúl Soldi  Pintores Argentinos," Argentina : Ed. Aguilar, 2014 ; il. ; 32 p. ; 30 cm.",ISBN: 978-987-04-3586-0
1308," Robrets, Nora",Traiciones," Argentina : Ed. Sudamericana, 2014 ; 553 p. ; 18 cm.",ISBN : 978-950-07-4902-2
1309, Nik,Los viajes de gatulliver - los clásicos de gaturro," Argentina : Ed. Sudamericana, 2014 ; il. ; 31 p. ; 24 cm.",ISBN : 978-950-07-4688-5
1310," Sheldon, Sidney",¿Tienes miedo a la OSCURIDAD?," Argentina : Ed. Emecé, 2014 ; 294 p. ; 19 cm.",ISBN :978-950-04-3618-2
1311," Foucault, Michel","El poder, una bestia margnífica"," Argentina : Ed. Siglo Veintiuno, 2012 ; 285 p. ; 22 cm.",ISBN : 978-987-629-419-5
1312," Alarcón, Pamela",Jesucristo," Argentina : Ed. Alfaguara, 2013 ; il. ; 137 p. ;23 cm.",ISBN : 978-987-04-3000-1
1313," Sabato, Ernesto",Uno y el universo," Argentina . Ed. Seix Barral, 2011 ; 141 p. ; 20 cm.",ISBN : 978-950-731-692-0
1314," Rafols, Josep María - Riera, Lluis",La Primera Guerra Mundial cumple 100 años,Llega la paz," Argentina : Ed. Luppa, 2014 ; il. ; 23 cm."
1315," Herrera, María José",Pérez Celis - Pintores Argentinos," Argentina : Ed. Aguilar, 2014 , il. ; 32 p. ; 30 cm.",ISBN : 978-987-04-3588-4
1316," Baldasarre, María isabel",Florencio Molina Campos - Pintores Argentinos," Argentina : Ed. Aguilar, 2014 ; il. ; 30 cm.",ISBN : 978-987-04-3587--7
1317," Roberts, Nora",Deseo y venganza," Argentina : Ed.Sudamericana, 2014 ; 478 p. ; 18 cm.",ISBN : 978-950-07-4903-9
1318," Sheldon, Sidney",Recuerdos de la medianoche," Argentina : Ed. Emecé, 2014 ; 293 p. ; 19 cm.",ISBN : 978-950-04-3619-9
1319," Marx, Karl",Antología," Argentina : Ed. Siglo Veintiuno, 2014 ; 359 p. ; 22 cm.",ISBN : 978-987-629-420-1
1320," Rossi, Cristina",Juan Carlos Castagno - Pintores Argentinos," Argentina . Ed. Aguilar, 2014 ; il. ; 32 p. ; 30 cm.",ISBN : 978-987-04-3589-1
1321," Becker, Howard",Manual de Escritura para Científicos Socilaes," Argentina : Ed. Siglo Veintiuno, 2014 ; 236 p. ; 22 cm.",ISBN : 978-987-629-437-9
1322," Sabato, Ernesto",Heterodoxia," Argentina . Ed. Seix Barral, 2012 ; 151 p. ; 19 cm.",ISBN : 978-950-731-693-7
1323," Pérgola, Laura Andrea",Louis Parateur," Argentina : Ed. Alfaguara, 2013 ; il. ; 136 p. ; 22 cm.",ISBN : 978-987-04-3001-8
1324," Roberts, Nora",Tres destinos," Argentina . Ed. Sudamericana, 2014 ; 478 p. ; 18 cm.",ISBN : 978-950-07-4904-6
1325," Sheldon, Sidney",El capricho de los Dioses," Argentina : Ed. Emecé, 2014 ; 319 p. ; 19 cm.",ISBN : 978-950-04-3620-5
1326," Sheldon, Sidney",Los mejores Planes," Argentina : Ed. Emecé, 2014 ; 254 p. ; 19 cm.",ISBN : 978-950-04-3621-2
1327," Bourdieu, Pierre - Wacquant, Loic",Una invitación a la Sociología Reflexiva," Argentina : Ed. Siglo Veintiuno, 2014 ; 412 p. ; 22 cm.",ISBN : 978-987-629-438-6
1328," Malosetti, Laura",Ernesto de la Cárcova - Pintores Argentinos," Argentina : Ed. Aguilar, 2014 ; il. ; 32 p. ; 30 cm.",ISBN : 978-987-04-3613-3
1329,"Rabossi, cecilia",Carlos Alonso - Pintores Argentinos," Argentina : Ed. Aguilar, 2014 ; il. ; 32 p. ; 30 cm.",ISBN : 978-987-04-3614-0
1330," Freire, Paulo - Faundez, Antonio",Por una Pedagogía de la pregunta," Argentina : Ed. Siglo Veintiuno, 2013 ; 221 p. ; 22 cm.",ISBN : 978-987-629-439-3
1331," Sheldon, Sidney",Presentimientos," Argentina : Ed. Emecé, 2014 ; 263 p. ; 19 cm.",ISBN : 978-950-04-3622-9
1332," Sabato, Ernesto",El escritor y sus fantasmas," Argentina : Ed. Seix Barral, 2011 ; 223 p. ; 20 cm.",ISBN : 978-950-731-694-4
1333," Staco, Alicia",Miguel Angel," Argentina : Ed. Aguilar, 2013 ; il. ; 138 p. ; 22 cm.",ISBN : 978-987-04-2994-4
1334, Tesoros Infantiles,Cuentos Clásicos," Argentina ; Ed. CULTURAL, 2013 ; il. ; 64 p. ; 36 cm.",ISBN : 9789-950-771-583-9
1335," Foucault, Michel",La inquietud por la verdad," Argentina : Ed. Siglo Veintiuno, 2013 ;  265 p. ; 22 cm.",ISBN : 978-987-629-512-3
1336," Barthes, Roland",El grado cero de la escritura," Argentina : Ed. Siglo Veintiuno, 2003 ; 176 P. ; 22 CM.",ISBN : 978-987-629-513-0
1337," Foucault, Michel","¿Qué es Usted, Profesor Foucault?",nan," Argentina : Ed. Siglo Veintiuno, 2013 ; 313 p. ; 22 cm."
1338," Freire, Paulo",Pedagogía de la indignación," Argentina : Ed. Siglo veintiuno, ",ISBN : 978-987-629-5
1339," Battiti, Florencia",Antonio Seguí - Pintores Argentinos," Argentina : Ed. Alfaguara, 2014 ; il. ; 32 p. ; 30 cm.",ISBN : 978-987-04-3677-5
1340," Rossi, Cristina",Raúl Loza - Grandes  Pintores Argentinos," Argentina : Ed. Alfaguara, 2014 ; il. ; 32 p. ; 30 cm.",ISBN : 978-987-04-3686-7
1341," Langoni, Ana",Ricardo Carpani - Grandes Pintores Argentinos," Argentina : Ed. Alfaguara, 2014 ; il ,, 32 p. ; 30 cm.",ISBN : 978-987-04-3672-0
1342," Amigo, Roberto", Prilidiano Pueyrredón - Grandes Pintores Argentinos," Argentina : Ed. Alfaguara, 2014 ; il. ; 32 p. ; 30 cm.",ISBN : 978-987-04-3697-3
1343," Battiti, Florencia",KENNETH Kemble - Grandes Pintores Argentinos," Argentina : Ed. Alfaguara, 2014 : il. ; 32 p. ; 30 cm.",ISBN : 978-987-04-3681-2
1344," Wechsler, Diana",Raquel Forner - Grandes Pintores Argentinos," Argentina : Ed. Alfaguara, 2014 ; il. ; 32 p. ; 30 cm.",ISBN : 978-987-04-3683-6
1345," Bittiti, Florencia",Cándido López - Grandes Pintores Argentinos," ARGENTINA : Ed. Alfaguara, 2014 ; il. ; 32 p. ; 30 cm.",ISBN : 978-987-04-3682-9
1346," Farina, Fernando",Fabián Marcaccio - Grandes Pintores Argentinos," Argentina : Ed. Alfaguara, 2014 ; il. ; 32 p. ; 30 cm.",ISBN : 978-987-04-3699-7
1347," Alonso, Rodrigo",Alberto Greco - Grandes Pintores Argentinos," Argentina : Ed. Alfaguara, 2014 ; il. ; 32 p. ; 30 cm.",ISBN : 978-987-04-3700-0
1348," Fantoni, Guillermo",Leónidas Gambarte - Grandes Pintores Argentinos," Argentina : Ed. Alfaguara, 2014 ; il. ; 32 p. ; 30 cm.",ISBN : 978-987-04-3678-2
1349," Casanegra, Mercedes",Luis Felipe Noé - Grandes Pintores Argentinos," Argentina : Ed. Alfaguara, 2014 ; il. ; 32 p. ; 30 cm.",ISBN : 978-987-04-3615-7
1350," Wechsler, Diana",Lino Enea Spilimbergo - Grandes Pintores Argentinos," Argentina : Ed. Alfaguara, 2014 ; il. ; 32 p. ; 30 cm.",ISBN : 978-987-04-3675-1
1351," Malosetti Costa, Laura",Eduardo Sívori - Grandes Pintores Argentinos," Argentina : Ed. Alfaguara, 2014 ; il. ; 32 p. ; 30 cm.",ISBN : 978-987-04-3676-8
1352," Pacheco, Marcelo",Jorge de la Vega - Grandes Pintores Argentinos," Argenti a : Ed. Alfaguara, 2014 ; il. ; 32 p. ; 30 cm.",ISBN : 978-987-04-3688-1
1353," Cippolini, Rafael",Juan Del Petre - Grandes Pintores Argentinos," Argentina : Ed. Alfaguara, 2014 ; il. 32 p. ; 30 cm.",ISBN : 978-987-04-3690-4
1354," Pacheco, Marcelo",Alfredo Guttero - Grandes Pintores Argentinos," Argentina : Ed. Alfaguara, 2014 ; il. ; 32 p. ; 30 cm.",ISBN : 978-987-04-3680-5
1355," Constantín, María Teresa",Carlos Gorriarena - Grandes Pintores Argentinos," Argentina : Ed. Alfaguara, 2014 ; il. ; 32 p. ; 30 cm.",ISBN : 978-987-04-3679-9
1356," Barthes, Roland",El placer del texto y lección inaugural," Argentona : Ed. Siglo Veintiuno, 2014 ; 116 p. ; 22 cm.",ISBN :978-987-629-488-1
1357," Foucault, Michel",Historia de la sexualidad," Argentina : Ed. Siglo Veintiuno, 2014 ; 269 p. ; 22 cm.",ISBN : 978-987-629-489-8
1358," Lacan, Jacques",Escritos 2," Argentina : Ed. Siglo Veintiuno, 2014 ; 887 p. ; 22 cm.",ISBN : 978-987-629-487-4
1359," Becker, Howard",Trucos del oficio Cómo condicir su investigación en Ciencias Sociales," Argentina : Ed. Siglo Veintiuno, 2014 ; 293 p. ; 22 cm.",ISBN : 978-987-629-441-6
1360," Freire, Paulo",PedagogíA de la autonomía Saberes necesarios para la práctica educativa," Argentina : Ed. Soglo Veintiuno, 2015 ; 136 p. ; 22 cm.",ISBN : 978-987-629-518-5
1361," Freire, Paulo",nan,nan,La educación como práctica de la libertad
1362," Dubet, Francois",¿Para qué sirve realmente la sociología?," Argentina : Ed. Siglo Veintiuno, 2015 ; 131 p. ; 22 cm.",ISBN : 978-987-629-517-8
1363," Bourdieu, Pierre",La nobleza del Estado - Primera Parte," Argentina : Ed. Siglo Veintiuno, 2015 ; 261 p. ; 22 cm.",ISBN : 978-987-629-519-2
1364," Bourdieu, Pierre",La nobleza del estado  - Segunda Parte," Argentina : Ed. Siglo Vientiuno, 2015 ; 548 p. ; 22 cm.",ISBN : 987-978-629-520-8
1365," Barthes,Roland",S/Z," Argentina : Ed. Siglo Veintiuno, 2015 ; 269 p. ; 22 cm.",ISBN : 978-987-629-521-5
1366," Augé, Marc",El Antrpólogo y el mundo global," Argentina : Ed. Soglo Veintiuno, 2014 ; 152 p. ; 22 cm.",ISBN : 978-987-629-494-2
1367," Bourdieu, Pierre",El Sentido práctico," Argentina : Ed, Siglo Veintiuno, 2015 ; 453 p. ; 22 cm.",ISBN : 978-987-629515-4
1368," Foucault, Michel",La Arqueología del Ser," Argentina : Ed. Siglo Veintiuno, 2015 ; 273 p. ; 22 cm.",ISBN : 978-987-629-516-1
1369," Badiou, Alain",Condociones," Argentina : Ed. Siglo Veintiuno, 2015 ; 348 p. ; 22 cm.",ISBN : 978-987-629-522-2
1370," Barthes, Roland",El grano de la voz," Argentina : Ed. Siglo Veintiuno, 2015 ; 312 p. ; 22 cm.",ISBN : 978-987-629-523-9
1371," Freire, Paulo - Shor, Ira",Miedo y osadía," Argentina : Ed. Siglo Veintiuno, 2014 ; 285 p. ; 22 cm.",ISBN : 978-987-629-483-6
1372," Bourdieu,Pierre","Capital Cultural,Escuela y Espacio Social"," Argentina : Ed. Siglo Veintiuni, 2014 ; 182 p. ; 22 cm.",ISBN : 978-987-629-484-3
1373," Foucault, Michel",Historia de la sexualidad," Argentina : Ed. Siglo Veintiuno, 2014 ; 279 p. ; 22 cm.",ISBN : 978-987-629-482-9
1374," Corcuff, Philippe",La nuevas Sociologías," Argentina : Ed. Siglo Veintiuno, 2014 ; 187 p. ; 22 cm.",ISBN : 978-987-629-440-9
1375," Foucault, Michel",El nacimiento de la Clínica," Argentina : Ed. Siglo Veintiuno, 2014 ; 272 p. ; 22 cm.",ISBN : 978-987-629-485-0
1376," Freire, Paulo",Pedagogía de la esperanza," Argentina : Ed. Siglo Veintiuno, 2014 ; 273 p. ; 22 cm.",ISBN : 978-987-629-486-7
1377," Zuy, Alejandro",Pío Collivadino - Grandes Pintores Argentinos ," Argentina : Ed. Alfaguara, 2015 ; il. ; 32 p. ; 30 cm.",ISBN : 978-987-735-036-4
1378,"  Cippolini, Rafael",Alfredo Prior - Grandes Pintores Argentinos," Argentina : Ed. Alfaguara, 2015 ; il. ; 32 p. ; 30 cm.",ISBN : 978-987-73-5034-0
1379," Pacheco, Marcelo",Miguel Carlos Victorica," Argentina : Ed. Alfaguara, 2015 ; il. ; 32 p. ; 30 cm.",ISBN : 978-987735-035-7
1380," Sánchez, Florencio",M'hijo El Doctor," Argentin : Ed. Gradifco, 2007 ; 157 p. ; 18 cm. ",ISBN : 978-987-571-023-8
1381,M'hijo El Doctor," Argentin : Ed. Gradifco, 2007 ; 157 p. ; 18 cm. ",ISBN : 978-987-571-023-8,nan
1382," Fondevila, Fabiana",Hbía una vez un botón," Argentina : Uranit, 2010 ; il. ; 32 p. ; 18 cm.",ISBN : 978-987-25653-0-5
1383," Reinaudi, Silvina - Parés, Diego","Donoso, el oso pegajoso"," Argentina : Ed. Guadal, 2012 ; il. ;  19 cm. ",ISBN : 987-1175-63-9
1384," Reinaudi, Silvina - Parés, Diego","Clara, la gallina rara"," Argentina : Ed. Guadal, 2012 ; il. ; 19 cm.",ISBN : 987-1175-59-0
1385," Reinaudi, Silvina - Parés, Diego","Nicanor, El ñandú madrugador"," Argentina : Ed. Guadal, 2012 ; il. 19 cm.",ISBN : 987-1175-60-4
1386," Reinaudi, Silvina - Parés, Diego","Ada, la cebrita desconfiada"," Argentina : Ed. Guadal, 2012 ; il. ; 19 cm.",ISBN : 987-11-75-62-0
1387," Reinaudi, Silvina - Parés Diago","Rosaflor, el coatí trabajador"," Argentina : Ed. Guadal, 2012 ; il. ; 19 cm.",ISBN : 987-1175-58-2
1388," Reinaudi, Silvina - Parés, Diego","Sivana, la monita haragana"," Argentina : Ed. Guadal, 2012 ; il. ; 19 cm.",ISBN : 987-1175-56-6
1389," Reinaudi, Silvina - Parés, Diego","Simón, el hipopotamo dormilón"," Argentina : Ed. Guadal, 2012 ; il. ; 19 cm.",ISBN : 987-1175-57-4
1390," Reinaudi, Silvana - Parés, Diego","Rosaflor , el coatí trabajador"," Argentina : Ed. Guadal, 2012 ; il. ; 19 cm.",ISBN : 987-1175-58-2
1391," Reinaudi, Silvana - Parés, Diego","Silvana, la minita haragana"," Argentina : Ed. Guadal, 2012 ; il. , 19 cm.",ISBN : 987-1175-56-6
1392," Reinaudi, Silvana - Parés, Diego","Vera, la cangura aventurera"," Argentina : Ed. Guadal, 2012 ; il. , 19 cm.",ISBN : 987-1175-61-2
1393, Peppa Pig,Fiesta de piyamas,"Argentina : Ed. Alfaguara, 2014 ; il. ; 21 vm.",ISBN : 978-987-736-002-8
1394," Silvestro, Marcela",Ovejitas figitivas," Argentina : Ed. URANITA, 2013 ; il. ; 39 p. ; 18 cm.",ISBN : 978-987-1831-88-3
1395," Brandán Aráos, María",Un carrito color sol y la calesita de la otra cuadra," Argentina : Ed. URANITO, 2012 ; il. ; 39 p. ; 20 cm.",ISBN : 978-987-1831-14-2
1396," Zelenar, Judit",Los colores de Mariana," Argentina : Ed. URANITO, 2010 ; il. ; 31 p. ; 20 cm.",ISBN : 978-987-1710-46-1
1397," Shua, Ana María",El sapo volador (Leyendas Latinoamericanas)," Argentina : Ed. El gato de hojalata, 2012 ; il. ; 5 p. ; 23 cm. ",ISBN : 978-987-668-810-9
1398," Shua, Ana María",El pájaro de los ojos colorados (Leyebdas Latinoamericanas)," Argentina : Ed. Gato de hojalata, 2012 ; il. ; 5 p. ; 23 cm.",ISBN : 978-987-668-804-8
1399," Basch, Adela",La gran orquesta," Argentina : Ed. El gato de hojalata, 2012 ; il. ; 23 cm.",ISBN : 987-1175-15-9
1400," Shua, Ana María",Cinco monedas de plata (Cuento popular ruso)," Argentina : Ed. Artemisa, 2010 ; il. ; 8 p. ; 23 cm.",ISBN : 978-987-1707-65-21
1401," Shua, Ana María",El contrabando misterioso (Cuento del cercano oriente)," Argentina : Ed. Artemisa, 2010 ; il. ; 8 p. ; 23 cm.",ISBN : 978-987-1707-64-5
1402," Shua, Ana María",Los Ayaymama ( Leyenda del Perú)," Argentina : Ed. El gato de hojalata, 2012 ; il. ; 8 p. ; 23 cm.",ISBN : 978-987-668-805-5
1403," Schujer, Silvia",El conejo de la galera," Argetina : Ed. El gato de hojalata, 2012 ; il. ; 8 p. ; 23 cm.",ISBN : 978-987-1134-25-0
1404," Schujer, Silvia",Canguros al sol," Argentina : Ed. El gato de hojalata, 2012 ; il. ; 8 p. ; 23 cm.",ISBN : 978-987-1134-24-3
1405," Schujer, Silvia",Los ojazos del león," Argentina : Ed. El gato de hojalata, 3012 ; il. ; 8 p. ; 23 cm.",ISBN : 978-987-1134-23-6
1406," Schujer, Silvia",La jirafa enjabonada," Argentina : Ed. El gato de hojalata, 2012 ; il. ; 8 p. ; 23 cm.",ISBN : 978-987-1134-20-5
1407," Schujer, Silvia",Carnaval en pradera," Argentina : Ed. El gato de hojalata, 2012 ; il. ; 8 p. ; 23 cm.",ISBN : 978-987-1134-19-9
1408," Schujer, Silvia",Dulce de abaja," Argentina : Ed. El gato de hojalata, 2012 ; il. ; 8 p. ; 23 cm",ISBN : 978-987-1134-18-2
1409," Schujer, Silvia",El vuelo del avestruz," Argentina : Ed. El gato de hojaleta, 2012 ; il. ; 8 p. ; 23 cm.",ISBN : 978-987-1134-22-9
1410," Schujer, Silvia",La cebra rayada," Argentina : Ed. El gato de hujalata, 2012 ; il. ; 8 p. ; 23 cm.",ISBN : 978-987-1134-22-9
1411," Suárez, Patricia",Pollito matón tiene novia," Argentina : Ed. URANITO, 2012 ; il. ; 31 p. ; 18 cm.",ISBN : 978-987-1831-47-0
1412," Restrepo, Emilio Roberto",De cómo les creció el cuello a las jirafas," Argentina : Ed. URANITO, 2013 ; il. ; 32 p. ; 20 cm.",ISBN : 978-987-703-028-2
1413," Shua, Ana María",El laguar y el chivo," Argentina : Ed. Artemisa, 2010 ; il. ; 8 p. ; 23 cm.",ISBN : 978-987-674-006-7
1414," Schapiro, Natalia",A salto de cangurito," Argentina : Ed. URANITO, 2013 ; il. ; 31 p. ; 18 cm.",ISBN : 978-987-703-001-3
1415," Uttley, Alison",La conejita gris y sus amigos," Argentina : Ed. El Ateneo, 2015 ; il. ; 52 p. ; 17 cm.",ISBN : 978-950-02-0842-0
1416," Uttley, Alison",La conejita gris en el bosque," Argentina : Ed. El Ateneo, 2015 ; il. ; 51 p. ; 17 cm.",ISBN : 978-950-02-0840-6
1417," Mercader, Martha",Tío Juan ( Los cuentos del Chiribitil)," Argentina : Ed. Eudeba, 2014 ; il , 24 p. ; 28 cm.",ISBN : 978-950-23-2302-2
1418," Montes, Graciela ", El cumpleaños de Cristina ( Los cuentos del Chiribitil)," Argentina : Ed. Eudeba, 2014 ; il. ; 24 p. ; 28 cm.",ISBN : 978-950-23-2301-5
1419," Novone de Spalding, Susana",Negrita y los gorriones (Los cuentos del Chiribitil)," Argentina : Ed. Eudeba, 2014 ; il. ; 24 p. ; 28 cm.",ISBN : 978-950-23-2299-5
1420," Finch, Maria Rosa",El señor viento Otto ( Los cuentos del Chiribitil)," Argentina : Ed. Eudeba, 2014 ; il. ; 24 p. ; 28 cm.",ISBN : 978-950-23-2300-8
1421," Martínez, Paulina",¿Dónde estás carabás? (Los cuentos del Chiribitil)," Argentina : Ed. Eudeba, 2014 ; il. ; 24 p. ; 28 cm.",ISBN : 978-950-23-2298-8
1422," Belgrano, Margarita",Los zapatos voladores," Argentina : Ed. Eudeba, 2014 ; il. ; 24p. ; 28 cm",ISBN : 978-950-23-2296-4
1423, Fábulas ilustradas,La liebre y el Petirrojo," Madrid : Ed. SUSAETA, ; il. ; 16 p.; 26 cm.",ISBN : 978-84-677-1564-4
1424, Colección Libro Brillante,¡ Hurra Hipo!," Uruguay : Ed. Latinbooks, 2013 ; il ; 6 p. ; 22 cm.",ISBN : 978-9974-8090-7-9
1425, Colección Reflejos,Una Aventura en el mar," Argentina : Ed. SIGMAR, 2011 : il. ; 5 p. ; 22 cm. ",ISBN : 978-850-11-1823-0
1426," Ducrot, Oswald - Todorov, Tzvetan",Diccionario Enciclopédico de la Ciencias del Lenguaje," Argentina : Ed. Siglo Veintiuno, 2014 ; 421p. ; 22 cm.",ISBN : 978-987-629-490-4
1427," Sosa, Ricardo Omar ",Lugwing van Beethoveen," Argentina : Ed. Aguilar, 2014 ; il. ; 138 p. ; 22 cm.",ISBN : 978-987-04-3237-1
1428," Sabato, Ernesto",Apologías y rechazos," Argentina : Ed, Seiz Barral,2011 ; 192 p. ; 20 cm.",ISBN : 978-987-731-695-1
1429," Sabato, Ernesto",Cuentos que me apasionaron," Argentina : Ed. Seix Barral, 2011; 324 p. ; 20 cm.",ISBN :978-987-731-697-5
1430," Sabato, Ernesto",Hombres y engranajes," Argentina : Ed. Seix Barral, 2011 ; 141 p. ; 20 cm.",ISBN : 978-978-731-696-8
1431," Sheldon, Sidney",Historias de fantasmas," Argentina : Ed. Emecé, 2014 ; 108 p. ; 19 cm.",ISBN : 978-950-04-3624-3
1432," Sheldon, Didney",El estrangulador," Argentina : Ed. Emecé, 2014 ; 92 p. ; 19 cm.",ISBN : 978-950-04-3628-1
1433," Sheldon, Sidney",Persecución," Argentina : Ed. Emecé, 2014 ; 115 p. ; 19 cm.",ISBN :978-950-04-3627-4
1434," Sheldon, Sidney",El Dictador," Argentina : Ed. Emecé, 2014 ; 124 p. ; 19 cm.",ISBN : 978-950-04-3626-7
1435," Sheldon, Sidney",Lotería," Argentina : Ed. Emecé,2014 ; 103 p. ; 19 cm.",ISBN : 978-950-04-3623-6
1436," Sheldon, Sidney",Los doce MANDAMIENTOS," Argneina : Ed. Emecé, 2014 ; 125 p. ; 19 cm.",ISBN : 978-950-04-3625-0
1437," Steel, Danielle",Empezar de nuevo," Argentina : Ed. Sudamericana, 2015 ; 234 p. ; 18 cm. ",ISBN : 978-950-07-5104-9
1438," Steel, Danielle",La boda," Argentina : Ed. Sudamericana, 2015 ; 356 p. ; 18 cm.",ISBN : 978-950-07-5108-7
1439," Steel, Danielle",Cuando late un corazón," Argentina : Ed. Sudamericana, 2015 ; 335 p. ; 18 cm.",ISBN :978-950-07-5114-8
1440," Steel, Danielle",Ecos," Argentina : Ed. Sudamericana, 2012 ; 351 p. ; 18 cm.",ISBN : 978-950-07-5109-4
1441," Lebenglik, Fabián",Daniel García - Pintores Argentinos," Argentina : Ed. Aguilar, 2015 ; il. ; 32 p. ; 30 cm.",ISBN : 978-987-735-043-2
1442," Dolinko, Silvia",Marcelo Pombo - Pintores Argentinos," Argentina : Ed. Aguilar, 2015 ; il. ; 32 p. ; 30 cm.",ISBN : 978-987-735-041-8
1443," Petrina, Alberto",Marcia Schvartz - Pintores Argentinos," Argentina : Ed. Aguiolar, 2015 ; il. ; 32 p. ; 30 cm.",ISBN : 978-987-735-039-5
1444," Plante, Isabel",Nicolás García Uriburu - Pintores Argentinos," Argentina : Ed. Aguilar, 2015 ; il. ; 32 p. ; 30 cm.",ISBN : 978-987-735-040-1
1445," Amigo, Roberto",Alfredo Gramajo Gutiérrez - Pintores Argentinos," Argentina : Ed. Aguilar, 2015 ; il. ; 32 p. ; 30 cm.",ISBN : 978-987--735-042-5
1446," Marchesi, Mariana",Alejandro Puente - Pintores Argentinos," Argentina : Ed. Aguilar, 2015 ; il. ; 32 p. ; 30 cm.",ISBN : 978-987-735-045-6
1447," Farina, Fernando",Max Gómez Canle - Pintores Argentinos," Argentina : Ed. Aguilar, 2015 ; il. ; 32 p. ; 30 cm.",ISBN : 978-987--735-046-3
1448,"  Manfredi, Valerio Massino",Noche de invierno," Argentina : Ed. Grijalbo, 2012 ; 393 p. ; 22 cm.",ISBN : 978-950-28-0638-9
1449," Borges, jorge Luis",El Alefh," Argentina : Ed. Alianza, 1997 ; 203 p. ; 17 cm.",ISBN : 84-4870468-1
1450," Arlt, Roberto",Los siete locos," Argentina : Ed. Losada, 1997 ; 239 p. ; 17 cm.",ISBN : 950-03-0036-2
1451," Suriano, Juan",Nueva Historia Argentina - Dictadura y Democracia 1976-2001," Argentina : Ed. Sudamericana, 2005 ; il. ; 557 p. ; 24 cm.",ISBN : 950-07-2637-8
1452," Hernández, José",Martín Fierro," Argentina : Ed. CLASA,  ; il. ; 18 cm.",nan
1453," Stevenson, Robert L.",La isla del tesoro," Argentina : Ed. Argentino, 2004 ; il. ; 61 p. ; 17 cm.",ISBN : 950-782-468-5
1454," Pyle, H. - Steinbeck, J.",La leyenda del rey Arturo," Argentina : Ed. Argentino, 2004 ; il. ; 61 p. ; 17 cm.",ISBN : 950-782-469-3
1455, Anónimo,Simbad el marino," Argentina : Ed. Argentino, 2004 ; il. ; 61 p. ; 17 cm.",ISBN : 950-782-487-1
1456," de Iriarte, Tomás",Fábulas literarias," Argentina : Ed. La Página, ; il, ; 32 p. ; 17 cm.",ISBN : 987-503-313-8
1457," Swift, Jonatgan",Los viajes de Gulliver," Argentina : Ed. Argentinao, 2004 ; il. ; 62 p. ; 17 cm.",ISBN : 950-782-489-8
1458,  Proyecto Bicentenario,Entre Ríos Identidades y Patrimonio," Argentina : Ed. Dunken, 2008 ; 391 p. ; 22 c. ",ISBN : 978-987-02-3060-1
1459,  Biblioteca de cunetos maravillosos,Cuentos y leyendas de la Argentina," Barcelona : Ed. Olañeta Editor, 1997 ; il. ; 115 p. ; 20 cm.",ISBN : 84-7651-583-9
1460,"  Rampa, Alfredo C.",Geografía de la República Argentina," Argentina : Ed. Kapelusz, 1985 ; il. ; 279 p. ; 21 cm.",ISBN : 950-13-2508-3
1461," Sánchez, Florencio",La Grinnga," Argentina : Ed. Ameghino, 1999 ; 124 p. ; 20 cm.",ISBN : 987-9216-70-9
1462," Argumedo, Alcira",Los silencios y las voces en América Latina," Argentina : Ed. Pensamiento Nacional, ; 181 p. ; 21 cm.",ISBN : 950-581-802-5
1463," Somonet, Dominique",La más bella historia de amor," Argentina : Ed. Nuevo offst, 2005 ; 174 p. ; 19 cm.",ISBN : 950-557-631-5
1464," Pigna, Felipe",Los mitos de la Historia Argentina," Argentina : Ed. Norma, 2004 ; 423 p. ; 20 cm.",ISBN : 987-545-149-5
1465," Luna, Félix",Segunda fila Personajes olvidados que también hicieron historia," Argentina :  Ed. Planeta, 1999 ; 315 p. ; 22 cm.",ISBN : 950-49-0250-2
1466," Sarmiento, Domingo F.",Facundo Civilización y Barbarie," Argentina : Ed. PORRUA, 1996 ; 169 P. ; 21 CM.",nan
